table_name,column_name,data_type,description
tlc_yellow_trips_2023,vendor_id,STRING,"A code indicating the LPEP provider that provided the record. 1= Creative Mobile Technologies, LLC; 2= VeriFone Inc."
tlc_yellow_trips_2023,pickup_datetime,TIMESTAMP,The date and time when the meter was engaged
tlc_yellow_trips_2023,dropoff_datetime,TIMESTAMP,The date and time when the meter was disengaged
tlc_yellow_trips_2023,passenger_count,INT64,The number of passengers in the vehicle. This is a driver-entered value.
tlc_yellow_trips_2023,trip_distance,NUMERIC,The elapsed trip distance in miles reported by the taximeter.
tlc_yellow_trips_2023,rate_code,STRING,The final rate code in effect at the end of the trip. 1= Standard rate 2=JFK 3=Newark 4=Nassau or Westchester 5=Negotiated fare 6=Group ride
tlc_yellow_trips_2023,store_and_fwd_flag,STRING,"This flag indicates whether the trip record was held in vehicle memory before sending to the vendor, aka 'store and forward,' because the vehicle did not have a connection to the server. Y= store and forward trip N= not a store and forward trip"
tlc_yellow_trips_2023,payment_type,STRING,A numeric code signifying how the passenger paid for the trip. 1= Credit card 2= Cash 3= No charge 4= Dispute 5= Unknown 6= Voided trip
tlc_yellow_trips_2023,fare_amount,NUMERIC,The time-and-distance fare calculated by the meter
tlc_yellow_trips_2023,extra,NUMERIC,"Miscellaneous extras and surcharges. Currently, this only includes the $0.50 and $1 rush hour and overnight charges"
tlc_yellow_trips_2023,mta_tax,NUMERIC,$0.50 MTA tax that is automatically triggered based on the metered rate in use
tlc_yellow_trips_2023,tip_amount,NUMERIC,Tip amount. This field is automatically populated for credit card tips. Cash tips are not included.
tlc_yellow_trips_2023,tolls_amount,NUMERIC,Total amount of all tolls paid in trip.
tlc_yellow_trips_2023,imp_surcharge,NUMERIC,$0.30 improvement surcharge assessed on hailed trips at the flag drop. The improvement surcharge began being levied in 2015.
tlc_yellow_trips_2023,total_amount,NUMERIC,The total amount charged to passengers. Does not include cash tips.
tlc_yellow_trips_2023,pickup_location_id,STRING,TLC Taxi Zone in which the taximeter was engaged
tlc_yellow_trips_2023,dropoff_location_id,STRING,TLC Taxi Zone in which the taximeter was disengaged
tlc_yellow_trips_2023,data_file_year,INT64,Datafile timestamp year value
tlc_yellow_trips_2023,data_file_month,INT64,Datafile timestamp month value
tlc_yellow_trips_2016,vendor_id,STRING,"A code indicating the LPEP provider that provided the record. 1= Creative Mobile Technologies, LLC; 2= VeriFone Inc."
tlc_yellow_trips_2016,pickup_datetime,TIMESTAMP,The date and time when the meter was engaged
tlc_yellow_trips_2016,dropoff_datetime,TIMESTAMP,The date and time when the meter was disengaged
tlc_yellow_trips_2016,passenger_count,INT64,The number of passengers in the vehicle. This is a driver-entered value.
tlc_yellow_trips_2016,trip_distance,NUMERIC,The elapsed trip distance in miles reported by the taximeter.
tlc_yellow_trips_2016,rate_code,STRING,The final rate code in effect at the end of the trip. 1= Standard rate 2=JFK 3=Newark 4=Nassau or Westchester 5=Negotiated fare 6=Group ride
tlc_yellow_trips_2016,store_and_fwd_flag,STRING,"This flag indicates whether the trip record was held in vehicle memory before sending to the vendor, aka 'store and forward,' because the vehicle did not have a connection to the server. Y= store and forward trip N= not a store and forward trip"
tlc_yellow_trips_2016,payment_type,STRING,A numeric code signifying how the passenger paid for the trip. 1= Credit card 2= Cash 3= No charge 4= Dispute 5= Unknown 6= Voided trip
tlc_yellow_trips_2016,fare_amount,NUMERIC,The time-and-distance fare calculated by the meter
