table_name,column_name,data_type,is_nullable,is_partitioning_column
tlc_yellow_trips_2023,vendor_id,STRING,NO,NO
tlc_yellow_trips_2023,pickup_datetime,TIMESTAMP,YES,NO
tlc_yellow_trips_2023,dropoff_datetime,TIMESTAMP,YES,NO
tlc_yellow_trips_2023,passenger_count,INT64,YES,NO
tlc_yellow_trips_2023,trip_distance,NUMERIC,YES,NO
tlc_yellow_trips_2023,rate_code,STRING,YES,NO
tlc_yellow_trips_2023,store_and_fwd_flag,STRING,YES,NO
tlc_yellow_trips_2023,payment_type,STRING,YES,NO
tlc_yellow_trips_2023,fare_amount,NUMERIC,YES,NO
tlc_yellow_trips_2023,extra,NUMERIC,YES,NO
tlc_yellow_trips_2023,mta_tax,NUMERIC,YES,NO
tlc_yellow_trips_2023,tip_amount,NUMERIC,YES,NO
tlc_yellow_trips_2023,tolls_amount,NUMERIC,YES,NO
tlc_yellow_trips_2023,imp_surcharge,NUMERIC,YES,NO
tlc_yellow_trips_2023,total_amount,NUMERIC,YES,NO
tlc_yellow_trips_2023,pickup_location_id,STRING,YES,NO
tlc_yellow_trips_2023,dropoff_location_id,STRING,YES,NO
tlc_yellow_trips_2023,data_file_year,INT64,YES,NO
tlc_yellow_trips_2023,data_file_month,INT64,YES,NO
tlc_yellow_trips_2016,vendor_id,STRING,NO,NO
tlc_yellow_trips_2016,pickup_datetime,TIMESTAMP,YES,NO
tlc_yellow_trips_2016,dropoff_datetime,TIMESTAMP,YES,NO
tlc_yellow_trips_2016,passenger_count,INT64,YES,NO
tlc_yellow_trips_2016,trip_distance,NUMERIC,YES,NO
tlc_yellow_trips_2016,rate_code,STRING,YES,NO
tlc_yellow_trips_2016,store_and_fwd_flag,STRING,YES,NO
tlc_yellow_trips_2016,payment_type,STRING,YES,NO
tlc_yellow_trips_2016,fare_amount,NUMERIC,YES,NO
tlc_yellow_trips_2016,extra,NUMERIC,YES,NO
tlc_yellow_trips_2016,mta_tax,NUMERIC,YES,NO
tlc_yellow_trips_2016,tip_amount,NUMERIC,YES,NO
tlc_yellow_trips_2016,tolls_amount,NUMERIC,YES,NO
tlc_yellow_trips_2016,imp_surcharge,NUMERIC,YES,NO
tlc_yellow_trips_2016,airport_fee,NUMERIC,YES,NO
tlc_yellow_trips_2016,total_amount,NUMERIC,YES,NO
tlc_yellow_trips_2016,pickup_location_id,STRING,YES,NO
tlc_yellow_trips_2016,dropoff_location_id,STRING,YES,NO
tlc_yellow_trips_2016,data_file_year,INT64,YES,NO
tlc_yellow_trips_2016,data_file_month,INT64,YES,NO
tlc_green_trips_2018,vendor_id,STRING,NO,NO
tlc_green_trips_2018,pickup_datetime,TIMESTAMP,YES,NO
tlc_green_trips_2018,dropoff_datetime,TIMESTAMP,YES,NO
tlc_green_trips_2018,store_and_fwd_flag,STRING,YES,NO
tlc_green_trips_2018,rate_code,STRING,YES,NO
tlc_green_trips_2018,passenger_count,INT64,YES,NO
tlc_green_trips_2018,trip_distance,NUMERIC,YES,NO
tlc_green_trips_2018,fare_amount,NUMERIC,YES,NO
tlc_green_trips_2018,extra,NUMERIC,YES,NO
tlc_green_trips_2018,mta_tax,NUMERIC,YES,NO
tlc_green_trips_2018,tip_amount,NUMERIC,YES,NO
tlc_green_trips_2018,tolls_amount,NUMERIC,YES,NO
tlc_green_trips_2018,ehail_fee,NUMERIC,YES,NO
tlc_green_trips_2018,airport_fee,NUMERIC,YES,NO
tlc_green_trips_2018,total_amount,NUMERIC,YES,NO
tlc_green_trips_2018,payment_type,STRING,YES,NO
tlc_green_trips_2018,distance_between_service,NUMERIC,YES,NO
tlc_green_trips_2018,time_between_service,INT64,YES,NO
tlc_green_trips_2018,trip_type,STRING,YES,NO
tlc_green_trips_2018,imp_surcharge,NUMERIC,YES,NO
tlc_green_trips_2018,pickup_location_id,STRING,YES,NO
tlc_green_trips_2018,dropoff_location_id,STRING,YES,NO
tlc_green_trips_2018,data_file_year,INT64,YES,NO
tlc_green_trips_2018,data_file_month,INT64,YES,NO
tlc_green_trips_2019,vendor_id,STRING,NO,NO
tlc_green_trips_2019,pickup_datetime,TIMESTAMP,YES,NO
tlc_green_trips_2019,dropoff_datetime,TIMESTAMP,YES,NO
tlc_green_trips_2019,store_and_fwd_flag,STRING,YES,NO
tlc_green_trips_2019,rate_code,STRING,YES,NO
tlc_green_trips_2019,passenger_count,INT64,YES,NO
tlc_green_trips_2019,trip_distance,NUMERIC,YES,NO
tlc_green_trips_2019,fare_amount,NUMERIC,YES,NO
tlc_green_trips_2019,extra,NUMERIC,YES,NO
tlc_green_trips_2019,mta_tax,NUMERIC,YES,NO
tlc_green_trips_2019,tip_amount,NUMERIC,YES,NO
tlc_green_trips_2019,tolls_amount,NUMERIC,YES,NO
tlc_green_trips_2019,ehail_fee,NUMERIC,YES,NO
tlc_green_trips_2019,airport_fee,NUMERIC,YES,NO
tlc_green_trips_2019,total_amount,NUMERIC,YES,NO
tlc_green_trips_2019,payment_type,STRING,YES,NO
tlc_green_trips_2019,distance_between_service,NUMERIC,YES,NO
tlc_green_trips_2019,time_between_service,INT64,YES,NO
tlc_green_trips_2019,trip_type,STRING,YES,NO
tlc_green_trips_2019,imp_surcharge,NUMERIC,YES,NO
tlc_green_trips_2019,pickup_location_id,STRING,YES,NO
tlc_green_trips_2019,dropoff_location_id,STRING,YES,NO
tlc_green_trips_2019,data_file_year,INT64,YES,NO
tlc_green_trips_2019,data_file_month,INT64,YES,NO
tlc_fhv_trips_2016,location_id,INT64,YES,NO
tlc_fhv_trips_2016,pickup_datetime,DATETIME,YES,NO
tlc_fhv_trips_2016,dispatching_base_num,STRING,YES,NO
tlc_fhv_trips_2016,borough,STRING,YES,NO
tlc_fhv_trips_2016,zone,STRING,YES,NO
tlc_fhv_trips_2016,service_zone,STRING,YES,NO
tlc_yellow_trips_2014,vendor_id,STRING,NO,NO
tlc_yellow_trips_2014,pickup_datetime,TIMESTAMP,YES,NO
tlc_yellow_trips_2014,dropoff_datetime,TIMESTAMP,YES,NO
tlc_yellow_trips_2014,passenger_count,INT64,YES,NO
tlc_yellow_trips_2014,trip_distance,NUMERIC,YES,NO
tlc_yellow_trips_2014,rate_code,STRING,YES,NO
tlc_yellow_trips_2014,store_and_fwd_flag,STRING,YES,NO
tlc_yellow_trips_2014,payment_type,STRING,YES,NO
tlc_yellow_trips_2014,fare_amount,NUMERIC,YES,NO
tlc_yellow_trips_2014,extra,NUMERIC,YES,NO
tlc_yellow_trips_2014,mta_tax,NUMERIC,YES,NO
tlc_yellow_trips_2014,tip_amount,NUMERIC,YES,NO
tlc_yellow_trips_2014,tolls_amount,NUMERIC,YES,NO
tlc_yellow_trips_2014,imp_surcharge,NUMERIC,YES,NO
tlc_yellow_trips_2014,airport_fee,NUMERIC,YES,NO
tlc_yellow_trips_2014,total_amount,NUMERIC,YES,NO
tlc_yellow_trips_2014,pickup_location_id,STRING,YES,NO
tlc_yellow_trips_2014,dropoff_location_id,STRING,YES,NO
tlc_yellow_trips_2014,data_file_year,INT64,YES,NO
tlc_yellow_trips_2014,data_file_month,INT64,YES,NO
tlc_green_trips_2022,vendor_id,STRING,NO,NO
tlc_green_trips_2022,pickup_datetime,TIMESTAMP,YES,NO
tlc_green_trips_2022,dropoff_datetime,TIMESTAMP,YES,NO
